feature,score,normalized_score,importance,normalized_importance,combined_score
x649,19.72465680285441,0.07205157230004537,0.0036261558347246135,0.013705214498905128,0.04287839339947525
x788,21.890781535356286,0.07996414053049437,0.0009320260733889567,0.003522633288962891,0.04174338690972863
x92,19.365557515528607,0.07073982991982279,0.002889514045365632,0.010921044652881714,0.04083043728635225
x602,21.75314362000904,0.07946136736146087,0.0003225011023499203,0.001218907014837294,0.04034013718814908
x824,20.785972808970552,0.07592841982708608,0.000973990567197703,0.00368123992783905,0.03980482987746256
x774,20.485585053428924,0.07483114293640153,0.0002199017272858903,0.0008311281915333753,0.03783113556396745
x21,19.2148558317526,0.07018933652605414,0.0009712032354020549,0.0036707050854659904,0.036930020805760064
x703,18.75510050941722,0.06850991091278898,0.0012595823868294948,0.004760646695111529,0.036635278803950254
x381,19.099824685345368,0.06976914290519892,0.0005176130213787265,0.0019563410423481045,0.03586274197377351
x659,17.67679921474681,0.06457101836471006,0.00080971213971952,0.0030603424295652854,0.03381568039713767
x283,16.419956789056382,0.05997993859031857,0.0011265795162769608,0.004257956531485115,0.03211894756090184
x819,16.230601037006146,0.05928824697836096,0.0009167009178074669,0.003464711193485888,0.03137647908592342
x608,16.077561696429306,0.05872921443231799,0.0006410244643699618,0.0024227799862063274,0.030575997209262157
x725,15.783097155388527,0.05765357426373827,0.0009127966311645468,0.003449954771438601,0.030551764517588436
x101,15.504515729069107,0.056635953020412064,0.0009483172164387768,0.003584206376305699,0.030110079698358883
x18,15.386110438447544,0.05620343409533283,0.0008840108828112676,0.0033411577771353604,0.029772295936234094
x298,14.74647077625502,0.053866914690859746,0.0003150605135437067,0.0011907849841703315,0.027528849837515038
x456,14.163836499839265,0.05173862844936837,0.0005136817110237465,0.0019414824829997142,0.02684005546618404
x780,13.532015647881673,0.04943067012844535,0.0009730567334398976,0.0036777104623278104,0.026554190295386578
x220,13.782830407128086,0.050346863395602535,0.0007269540287059266,0.0027475545311236183,0.026547208963363076
x100,13.483108416940171,0.04925201845803115,0.0006936203141997257,0.0026215682999258514,0.0259367933789785
x395,13.182401615522075,0.04815357613479864,0.0004266013368279447,0.0016123584019081957,0.024882967268353418
x272,12.887297590390224,0.04707560001509526,0.0004837927655942012,0.0018285159071191998,0.02445205796110723
x173,11.002789258975938,0.04019173939090001,0.0015039122614914295,0.005684102137557158,0.022937920764228584
x169,12.02385618801992,0.043921562342777755,0.00021859860255446235,0.0008262029746433503,0.022373882658710553
x380,11.175762288614434,0.04082358707654149,0.0009382721021525529,0.003546240427727218,0.022184913752134355
x318,10.842939431725965,0.03960782903441744,0.0008716881235067723,0.0032945833696404565,0.021451206202028946
x685,10.914384884025479,0.03986880985772499,0.00024355532414638197,0.0009205279949117336,0.020394668926318364
x98,9.463198262485145,0.034567816343473286,0.0011548817157409207,0.004364925931622279,0.019466371137547782
x26,9.578334820582809,0.03498839501934418,0.0010371001461037662,0.003919765340222179,0.01945408017978318
